"","sl_no","word1","freq1","word2","freq2"
"415",415,"rips",4,"mvp",3
"416",416,"ripwesgibbins",4,"ndamukong",3
"417",417,"signing",4,"nextnhttpstc‚Ä",3
"418",418,"snow",4,"nhttpst‚Ä",3
"419",419,"speechless",4,"nightmareny",3
"420",420,"stepht",4,"nngoff",3
"421",421,"stop",4,"nnhttpstcoapqtqqwfxp",3
"422",422,"supposed",4,"nnhttpstcovwqnztrel",3
"423",423,"tell",4,"notes",3
"424",424,"tho",4,"one‚Ä",3
"425",425,"told",4,"pederson",3
"426",426,"trump",4,"people",3
"427",427,"trust",4,"players",3
"428",428,"two",4,"playoff",3
"429",429,"victim",4,"praise",3
"430",430,"vinestudio",4,"prescott",3
"431",431,"voldemort",4,"preview",3
"432",432,"wanna",4,"profootballhof",3
"433",433,"weekly",4,"proud",3
"434",434,"welcome",4,"pumped",3
"435",435,"well",4,"rams‚Äô",3
"436",436,"whitley",4,"ramsfanmvp",3
"437",437,"winter",4,"ramslife",3
"438",438,"writers",4,"roger",3
"439",439,"accused",3,"romo",3
"440",440,"actual",3,"rub",3
"441",441,"actually",3,"she‚Äôs",3
"442",442,"age",3,"shorts",3
"443",443,"anjprowse",3,"squad",3
"444",444,"answer",3,"step",3
"445",445,"ask",3,"streak",3
"446",446,"babyeduaubdedubueduaubdedubuaeduaubdedubub",3,"stubhub‚Ä",3
"447",447,"bcherai",3,"suh",3
"448",448,"breathe",3,"super",3
"449",449,"burned",3,"telling",3
"450",450,"called",3,"theforceawakensnhttps‚Ä",3
"451",451,"cancel",3,"thrown",3
"452",452,"chat",3,"timesbut",3
"453",453,"color",3,"tony",3
"454",454,"couldnt",3,"trucks",3
"455",455,"cried",3,"underperform",3
"456",456,"crossing",3,"veterans",3
"457",457,"dad",3,"warner",3
"458",458,"danaemolina",3,"weeks",3
"459",459,"daya",3,"wegotgoff",3
"460",460,"deal",3,"wentz",3
"461",461,"denial",3,"wolves",3
"462",462,"designedbymyself",3,"wonders",3
"463",463,"done",3,"wreck",3
"464",464,"dying",3,"yall",3
"465",465,"eduaubdedubuadeduaubdedubuadeduaubdedubuadeduaubdedubuad",3,"yeah",3
"466",466,"eduaubdedubuaeduaubcedubfubenhtgawm",3,"year",3
"467",467,"eduaubdedubueduaubdedubu",3,"yes",3
"468",468,"either",3,"yet",3
"469",469,"emmjolras",3,"york",3
"470",470,"emotionally",3,"yungjoc",3
"471",471,"ended",3,"aaron",2
"472",472,"every",3,"accident",2
"473",473,"experiences",3,"ajayi",2
"474",474,"fact",3,"amputated",2
"475",475,"faked",3,"appearance",2
"476",476,"fashionblogger",3,"armchairnfl",2
"477",477,"fingers",3,"ass",2
"478",478,"forgot",3,"bcfootball",2
"479",479,"gods",3,"best",2
"480",480,"goodnighteduaubdedubueduaubdedubueduaubdedubu",3,"bonsignore",2
"481",481,"group",3,"bout",2
"482",482,"hahaha",3,"boy",2
"483",483,"heartbroken",3,"boycott",2
"484",484,"hell",3,"brave",2
"485",485,"hes",3,"brittngain",2
"486",486,"hollywoodnhttpstcodcobauu",3,"bruce",2
"487",487,"htgawmufufuf",3,"call",2
"488",488,"httpstcogtvzdone",3,"called",2
"489",489,"httpstcojlwjnfxnq",3,"carries",2
"490",490,"httpstcollvtrgjv",3,"casekeenum",2
"491",491,"httpstcookkcsoyua",3,"chat",2
"492",492,"httpstcoxwlixbtii",3,"chatrams",2
"493",493,"httpstcozbbunplab",3,"chely",2
"494",494,"jaroncheatham",3,"chill",2
"495",495,"jon",3,"chosen",2
"496",496,"kills",3,"chris",2
"497",497,"kind",3,"coliseum",2
