"","x"
"150","Whoever is retweeting #HTGAWM spoilers is getting tf blocked <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
"151","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"152","I am not okay I am not okay I am not okay I am not okay I am not okay I am not okay I am not okay I am not okay I am not okay #HTGAWM"
"153","RT @petenowalk: This was the hardest showrunner decision I've ever made #StomachPains&amp;Tears #HTGAWM"
"154","It was Voldemort! #HTGAWM"
"155","WHOAAAA #HTGAWM"
"156","RT @fyeahtgawm: Raise your hand if you've been victimized by this episode. #HTGAWM @HowToGetAwayABC @petenowalk @violadavis https://t.co/4K…"
"157","First MCDreamy and now Wes????? <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> @shondarhimes how could you!!!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>
#HTGAWM #WesIsDead why??? 
2016 worst year ever"
"158","RT @INKdaRapper: Please let that be Wes' secret evil twin brother, East #HTGAWM   @shondarhimes"
"159","RT @foreversaranya: #HTGAWM I need some of Annalise's vodka right about now"
"160","#MarcosNOTaHero and #HTGAWM are trending today. Coincidence?"
"161","RT @jaroncheatham: Me waiting for it to be January 19th. #HTGAWM @HowToGetAwayABC https://t.co/LLVT47RgjV"
"162","RT @e_wicz: How do you survive Voldemort but not law school?? #htgawm #AlfredEnoch #underthesheet"
"163","RT @Cristallizing: Peter: But Wes is a main charac--
Shonda: Kill him
#HTGAWM https://t.co/avKHbf9Qjj"
"164","RT @HowToGetAwayABC: Do. Not. Mess!!!
 #HTGAWM https://t.co/U2H60spYul"
"165","RT @MsOriginality18: When The Lady Lifted Up The Sheet And It Was Wes <ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> I Have Never Been This Shook Over A Show #HTGAWM https://t.co/WFat…"
"166","RT @TheCharlieWeber: Me and @liza_weil went and got a cheeseburger after this scene...<ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
#HTGAWM https://t.co/D5OgAIWaSK"
"167","RT @TrashyUsagi: Just in case you didn't think 2016 could get any worse @shondarhimes pulled this stunt... #HTGAWM"
"168","WTF....Why West yoh??? 
#HTGAWM"
"169","RT @ajanaomi_king: I RESCUED MYSELF!!!
Michaela don't play that <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>
#HTGAWM https://t.co/GtVZdO9Ne5"
"170","RT @mcAda97: I THOUGHT THE WHOLE EPISODE IT WAS GONNA BE NATE, BUT OH BOY WAS I WRONG #HTGAWM"
"171","RT @danaemolina: I'm in denial.. Either Wes has a twin brother or faked his own death, HE CANNOT BE DEAD #HTGAWM"
"172","RT @HowToGetAwayABC: #HTGAWM Returns 01.19.17! 
#TGIT IS BACK!!! https://t.co/E2L5czo6Nu"
"173","RT @ajanaomi_king: OH GOD PLEASE HELP
#HTGAWM https://t.co/IvjuDznVQH"
"174","RT @Prettyyyyyyyy_: First yall kill his mama, kill his girlfriend, kill his daddy now him like whyyy <ed><U+00A0><U+00BD><ed><U+00B8><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #htgawm"
"175","#HTGAWM IM SO SAD! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B9><U+0083>"
"176","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"177","RT @marieeeel94: Why do I keep giving @shondarhimes my trust for her just to keep on breaking my heart?! #HTGAWM"
"178","RT @liza_weil: See! We're just a bunch of weirdo's trying to make good telly. 
#HTGAWM https://t.co/JLWJNfXNQ6"
"179","RT @HowToGetAwayABC: Prepare yourself! @jimmykimmel will chat with the person Who Is #UnderTheSheet from #HTGAWM. Tonight at 11:35|10:35c.…"
"180","Fucking Frank and Bonnie <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>#HTGAWM"
"181","RT @petenowalk: And we officially say goodbye to 1130 Whitley Ave #BestSetEver #HTGAWM #UnderTheSheet"
"182","RT @iBiebTeam: watching #HTGAWM like https://t.co/DNhlUCzEC7"
"183","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"184","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"185","WAS NATE STILL IN THE HOUSE WHEN LAUREL WALKED IN??  #HTGAWM"
"186","#htgawm better damaged than fake! Boom. @RestingPlatypus"
"187","RT @ouatxarrow: @violadavis whenever Annalise cries, I cry. #HTGAWM"
